D,complex_real,error_prob,hierarchical,proj
64.0,0.0,0.15940000116825104,0.0,countsketch_scatter
128.0,0.0,0.0828000009059906,0.0,countsketch_scatter
192.0,0.0,0.05389999970793724,0.0,countsketch_scatter
256.0,0.0,0.04270000010728836,0.0,countsketch_scatter
320.0,0.0,0.03060000017285347,0.0,countsketch_scatter
384.0,0.0,0.02669999934732914,0.0,countsketch_scatter
448.0,0.0,0.022299999371170998,0.0,countsketch_scatter
512.0,0.0,0.022099999710917473,0.0,countsketch_scatter
576.0,0.0,0.017899999395012856,0.0,countsketch_scatter
640.0,0.0,0.014100000262260437,0.0,countsketch_scatter
704.0,0.0,0.01600000075995922,0.0,countsketch_scatter
768.0,0.0,0.01360000018030405,0.0,countsketch_scatter
832.0,0.0,0.01140000019222498,0.0,countsketch_scatter
896.0,0.0,0.011099999770522118,0.0,countsketch_scatter
960.0,0.0,0.01119999960064888,0.0,countsketch_scatter
1024.0,0.0,0.009800000116229057,0.0,countsketch_scatter
1088.0,0.0,0.009700000286102295,0.0,countsketch_scatter
1152.0,0.0,0.008700000122189522,0.0,countsketch_scatter
1216.0,0.0,0.009100000374019146,0.0,countsketch_scatter
1280.0,0.0,0.007000000216066837,0.0,countsketch_scatter
1344.0,0.0,0.007799999788403511,0.0,countsketch_scatter
1408.0,0.0,0.008299999870359898,0.0,countsketch_scatter
1472.0,0.0,0.007899999618530273,0.0,countsketch_scatter
1536.0,0.0,0.007199999876320362,0.0,countsketch_scatter
1600.0,0.0,0.00570000009611249,0.0,countsketch_scatter
1664.0,0.0,0.006099999882280827,0.0,countsketch_scatter
1728.0,0.0,0.0044999998062849045,0.0,countsketch_scatter
1792.0,0.0,0.0052999998442828655,0.0,countsketch_scatter
1856.0,0.0,0.006200000178068876,0.0,countsketch_scatter
64.0,0.0,0.4645000100135803,0.0,rademacher
128.0,0.0,0.2913999855518341,0.0,rademacher
192.0,0.0,0.19830000400543213,0.0,rademacher
256.0,0.0,0.1307000070810318,0.0,rademacher
320.0,0.0,0.09520000219345093,0.0,rademacher
384.0,0.0,0.0649000033736229,0.0,rademacher
448.0,0.0,0.05050000175833702,0.0,rademacher
512.0,0.0,0.0333000011742115,0.0,rademacher
576.0,0.0,0.02370000071823597,0.0,rademacher
640.0,0.0,0.02070000022649765,0.0,rademacher
704.0,0.0,0.013700000010430813,0.0,rademacher
768.0,0.0,0.008700000122189522,0.0,rademacher
832.0,0.0,0.00800000037997961,0.0,rademacher
896.0,0.0,0.005799999926239252,0.0,rademacher
960.0,0.0,0.0031999999191612005,0.0,rademacher
1024.0,0.0,0.0017999999690800905,0.0,rademacher
1088.0,0.0,0.0017000000225380063,0.0,rademacher
1152.0,0.0,0.0019000000320374966,0.0,rademacher
1216.0,0.0,0.0013000000035390258,0.0,rademacher
1280.0,0.0,0.0012000000569969416,0.0,rademacher
1344.0,0.0,0.000699999975040555,0.0,rademacher
1408.0,0.0,0.0006000000284984708,0.0,rademacher
1472.0,0.0,0.00019999999494757503,0.0,rademacher
1536.0,0.0,0.0003000000142492354,0.0,rademacher
1600.0,0.0,0.00039999998989515007,0.0,rademacher
1664.0,0.0,0.0,0.0,rademacher
1728.0,0.0,0.00019999999494757503,0.0,rademacher
1792.0,0.0,9.999999747378752e-05,0.0,rademacher
1856.0,0.0,0.0,0.0,rademacher
64.0,1.0,0.36649999022483826,0.0,rademacher
128.0,1.0,0.1995999962091446,0.0,rademacher
192.0,1.0,0.11949999630451202,0.0,rademacher
256.0,1.0,0.07090000063180923,0.0,rademacher
320.0,1.0,0.042899999767541885,0.0,rademacher
384.0,1.0,0.025100000202655792,0.0,rademacher
448.0,1.0,0.014399999752640724,0.0,rademacher
512.0,1.0,0.009999999776482582,0.0,rademacher
576.0,1.0,0.0071000000461936,0.0,rademacher
640.0,1.0,0.004000000189989805,0.0,rademacher
704.0,1.0,0.0026000000070780516,0.0,rademacher
768.0,1.0,0.0015999999595806003,0.0,rademacher
832.0,1.0,0.00139999995008111,0.0,rademacher
896.0,1.0,0.0006000000284984708,0.0,rademacher
960.0,1.0,0.000699999975040555,0.0,rademacher
1024.0,1.0,0.00039999998989515007,0.0,rademacher
1088.0,1.0,0.00019999999494757503,0.0,rademacher
1152.0,1.0,9.999999747378752e-05,0.0,rademacher
1216.0,1.0,9.999999747378752e-05,0.0,rademacher
1280.0,1.0,0.0,0.0,rademacher
1344.0,1.0,0.0,0.0,rademacher
1408.0,1.0,9.999999747378752e-05,0.0,rademacher
1472.0,1.0,0.0,0.0,rademacher
1536.0,1.0,0.0,0.0,rademacher
1600.0,1.0,0.0,0.0,rademacher
1664.0,1.0,0.0,0.0,rademacher
1728.0,1.0,0.0,0.0,rademacher
1792.0,1.0,0.0,0.0,rademacher
1856.0,1.0,0.0,0.0,rademacher
64.0,0.0,0.3343000113964081,0.0,srht
128.0,0.0,0.16269999742507935,0.0,srht
192.0,0.0,0.08449999988079071,0.0,srht
256.0,0.0,0.05009999871253967,0.0,srht
320.0,0.0,0.029400000348687172,0.0,srht
384.0,0.0,0.01590000092983246,0.0,srht
448.0,0.0,0.00930000003427267,0.0,srht
512.0,0.0,0.006200000178068876,0.0,srht
576.0,0.0,0.0027000000700354576,0.0,srht
640.0,0.0,0.0008999999845400453,0.0,srht
704.0,0.0,0.0013000000035390258,0.0,srht
768.0,0.0,0.00019999999494757503,0.0,srht
832.0,0.0,0.0003000000142492354,0.0,srht
896.0,0.0,0.0006000000284984708,0.0,srht
960.0,0.0,9.999999747378752e-05,0.0,srht
1024.0,0.0,0.00039999998989515007,0.0,srht
1088.0,0.0,0.0,0.0,srht
1152.0,0.0,0.0,0.0,srht
1216.0,0.0,9.999999747378752e-05,0.0,srht
1280.0,0.0,9.999999747378752e-05,0.0,srht
1344.0,0.0,0.0,0.0,srht
1408.0,0.0,0.0,0.0,srht
1472.0,0.0,0.0,0.0,srht
1536.0,0.0,0.0,0.0,srht
1600.0,0.0,0.0,0.0,srht
1664.0,0.0,0.0,0.0,srht
1728.0,0.0,0.0,0.0,srht
1792.0,0.0,0.0,0.0,srht
1856.0,0.0,0.0,0.0,srht
64.0,1.0,0.21469999849796295,0.0,srht
128.0,1.0,0.059300001710653305,0.0,srht
192.0,1.0,0.053599998354911804,0.0,srht
256.0,1.0,0.022199999541044235,0.0,srht
320.0,1.0,0.020899999886751175,0.0,srht
384.0,1.0,0.010999999940395355,0.0,srht
448.0,1.0,0.009499999694526196,0.0,srht
512.0,1.0,0.00570000009611249,0.0,srht
576.0,1.0,0.0052999998442828655,0.0,srht
640.0,1.0,0.002899999963119626,0.0,srht
704.0,1.0,0.0032999999821186066,0.0,srht
768.0,1.0,0.002300000051036477,0.0,srht
832.0,1.0,0.00279999990016222,0.0,srht
