D,complex_real,d,error_prob,hierarchical,proj
1024.0,0.0,2.0,0.012000000104308128,0.0,countsketch_scatter
1024.0,0.0,3.0,0.011900000274181366,0.0,countsketch_scatter
1024.0,0.0,4.0,0.02290000021457672,0.0,countsketch_scatter
1024.0,0.0,5.0,0.032600000500679016,0.0,countsketch_scatter
1024.0,0.0,6.0,0.04129999876022339,0.0,countsketch_scatter
1024.0,0.0,7.0,0.04639999940991402,0.0,countsketch_scatter
1024.0,0.0,8.0,0.04179999977350235,0.0,countsketch_scatter
1024.0,0.0,9.0,0.03759999945759773,0.0,countsketch_scatter
1024.0,0.0,10.0,0.0357000008225441,0.0,countsketch_scatter
1024.0,0.0,2.0,0.0024999999441206455,0.0,rademacher
1024.0,0.0,3.0,0.019300000742077827,0.0,rademacher
1024.0,0.0,4.0,0.030799999833106995,0.0,rademacher
1024.0,0.0,5.0,0.04729999974370003,0.0,rademacher
1024.0,0.0,6.0,0.057500001043081284,0.0,rademacher
1024.0,0.0,7.0,0.06199999898672104,0.0,rademacher
1024.0,0.0,8.0,0.07039999961853027,0.0,rademacher
1024.0,0.0,9.0,0.06960000097751617,0.0,rademacher
1024.0,0.0,10.0,0.07329999655485153,0.0,rademacher
1024.0,1.0,2.0,0.00039999998989515007,0.0,rademacher
1024.0,1.0,3.0,0.003700000001117587,0.0,rademacher
1024.0,1.0,4.0,0.008799999952316284,0.0,rademacher
1024.0,1.0,5.0,0.009999999776482582,0.0,rademacher
1024.0,1.0,6.0,0.012799999676644802,0.0,rademacher
1024.0,1.0,7.0,0.014600000344216824,0.0,rademacher
1024.0,1.0,8.0,0.016899999231100082,0.0,rademacher
1024.0,1.0,9.0,0.018200000748038292,0.0,rademacher
1024.0,1.0,10.0,0.020600000396370888,0.0,rademacher
1024.0,0.0,2.0,0.0003000000142492354,0.0,srht
1024.0,0.0,3.0,0.004399999976158142,0.0,srht
1024.0,0.0,4.0,0.026799999177455902,0.0,srht
1024.0,0.0,5.0,0.03590000048279762,0.0,srht
1024.0,0.0,6.0,0.03869999945163727,0.0,srht
1024.0,0.0,7.0,0.03849999979138374,0.0,srht
1024.0,0.0,8.0,0.04399999976158142,0.0,srht
1024.0,0.0,9.0,0.040800001472234726,0.0,srht
1024.0,0.0,10.0,0.046799998730421066,0.0,srht
1024.0,1.0,2.0,0.0013000000035390258,0.0,srht
1024.0,1.0,3.0,0.0008999999845400453,0.0,srht
1024.0,1.0,4.0,0.007000000216066837,0.0,srht
1024.0,1.0,5.0,0.00419999985024333,0.0,srht
1024.0,1.0,6.0,0.005799999926239252,0.0,srht
1024.0,1.0,7.0,0.007499999832361937,0.0,srht
1024.0,1.0,8.0,0.008799999952316284,0.0,srht
1024.0,1.0,9.0,0.0066999997943639755,0.0,srht
1024.0,1.0,10.0,0.006800000090152025,0.0,srht
